Ticker,Date,Open,High,Low,Close,Adj Close,Volume
META,7/20/16,121.25,122.199997,120.559998,121.919998,121.790779,20046500
META,7/21/16,121.919998,122.099998,120.25,120.610001,120.48217,17801700
META,7/22/16,119.900002,121.010002,119.309998,121,120.87175,18422400
META,7/25/16,121.389999,121.849998,117.779999,121.629997,121.501083,18487400
META,7/26/16,122,122.07,120.75,121.220001,121.091522,17612000
META,7/27/16,122.419998,125,121.510002,123.339996,123.209267,52654200
META,7/28/16,127.519997,128.330002,123.629997,125,124.867516,78955800
META,7/29/16,124.650002,125.839996,123.709999,123.940002,123.80864,35058800
META,8/1/16,123.849998,124.580002,122.860001,124.309998,124.178246,25006900
META,8/2/16,124.059998,124.800003,122.07,123.089996,122.959534,23968400
META,8/3/16,123.089996,123.919998,122.309998,122.510002,122.380157,18525300
META,8/4/16,122.940002,124.790001,122.510002,124.360001,124.228195,21066000
META,8/5/16,124.980003,125.839996,124.620003,125.150002,125.017357,20184000
META,8/8/16,125.25,125.449997,124.550003,125.260002,125.127243,15233900
META,8/9/16,125.339996,126.089996,124.529999,125.059998,124.927444,19621000
META,8/10/16,125.07,125.480003,124.540001,124.879997,124.747635,10670100
META,8/11/16,125.199997,125.379997,124.75,124.900002,124.767624,11729500
META,8/12/16,124.699997,125,124.18,124.879997,124.747635,12159000
META,8/15/16,124.910004,124.919998,123.699997,123.900002,123.768684,19295100
META,8/16/16,123.5,123.919998,122.779999,123.300003,123.169319,14222400
META,8/17/16,123.660004,124.379997,122.849998,124.370003,124.238182,13794200
META,8/18/16,124.010002,124.260002,123.639999,123.910004,123.778671,12400800
META,8/19/16,123.599998,124.160004,123.279999,123.559998,123.429039,11688300
META,8/22/16,123.330002,124.830002,123.110001,124.150002,124.018417,14386400
META,8/23/16,124.510002,125.089996,124.25,124.370003,124.238182,13309500
META,8/24/16,124.470001,124.690002,123.089996,123.480003,123.349129,12243700
META,8/25/16,123.120003,124.370003,123.099998,123.889999,123.75869,10730800
META,8/26/16,124.050003,125.190002,123.910004,124.959999,124.827553,17504800
META,8/29/16,124.349998,126.730003,124.349998,126.540001,126.405884,15925900
META,8/30/16,126.599998,126.599998,125.150002,125.839996,125.706619,17804300
